"wordId","word","topicId","dov","dovDelta","composition","dod","dodDelta","numDocs","score"
W0,tamper,T54,0.06762178967691328,0.0,1.4386532662328484,0.08644913826837071,0.0,10,1.97
W1,prepare,T61,0.7363414477400835,0.1414401381862911,14.0084805956112,0.7794113996373333,0.14806717056789864,87,2.04
W2,year,T84,2.831835707124157,0.5398036516411807,75.18587594860949,4.199457551429739,0.8321983718834078,487,2.01
W3,vary,T7,0.06157617251885371,0.011399208776355061,7.029245078277295,0.26919812879688143,0.04824816384045223,44,1.93
W4,nation,T20,0.015524006582945416,0.0016342226747957762,1.1615673478595876,0.10637654152325861,0.018207395573118956,19,1.98
W5,credible,T8,0.0013798204902682187,0.0,0.1406786522243548,0.021773777242548746,0.0,4,1.99
W6,maintain,T7,0.1378582223992507,0.024390844430695766,14.121377430252082,0.5205028640309366,0.0973518289818604,89,1.87
W7,shift,T57,0.18453496144319526,0.02705081670482154,15.302138429635455,0.6254335823322882,0.11713903995283756,104,1.86
W8,county,T57,0.0548591016841803,0.008838561331422157,4.884917002447493,0.12722679780937127,0.024536427181854142,20,1.96
W9,bring,T49,0.3589526881790175,0.05824340171784483,33.58774441537232,1.5170511068944577,0.2899336165813766,257,1.69
W10,accuracy,T57,0.041774941824284394,0.005999718946938571,3.472015546554037,0.16025407267038239,0.031118538241827646,26,1.97
W11,professional,T53,0.23135474518770147,0.03879424151957486,21.63575404706621,0.783677035244006,0.14850265866402096,130,1.81
W12,properly,T84,0.04442961970495785,0.007270347881422448,4.378920307645491,0.2002697088337225,0.03715533772718401,35,1.96
W13,ongoing,T56,0.05096895397038807,0.009669204232301894,5.284697870823533,0.29164186203514897,0.05780942481322253,47,1.96
W14,improbable,T5,0.0030116218440843236,0.0,0.14689507777539276,0.011270446409760413,0.0,2,2.00
W15,state,T5,0.29036025514454633,0.05271820444416901,28.140009375912058,1.357040188507794,0.2703422890899187,223,1.76
W16,press,T64,0.09735120114689773,0.01617007949143333,9.332318911981096,0.3596289299672212,0.06837119655566877,61,1.91
W17,meaningless,T96,0.005011828540129673,0.0,0.42007392405717475,0.03060727254713084,0.0,5,1.99
W18,boil,T20,0.005730067759653615,0.0,0.32643887435280783,0.04117962455158623,0.0,6,1.99
W19,dissuade,T5,0.0015048095333677508,0.0,0.12649677845089563,0.01592932257158694,0.0,3,1.99
W20,element,T84,0.06265420649266389,0.010444712730319576,5.93035850474653,0.37368901962771645,0.0720149890912083,60,1.95
W21,distinguish,T3,0.013699354608525295,0.0024142159295872066,1.5598592558122226,0.10898958021817101,0.020165898534994467,18,1.98
W22,pass,T56,0.13716579614437954,0.024940251219434276,13.40639081014916,0.764898941042953,0.1504764574133608,128,1.88
W23,night,T68,0.11737874613481335,0.018395767956298586,11.57882501229114,0.5477932443048401,0.09426629014894837,96,1.88
W24,locality,T18,0.002432291222544824,0.0,0.22411636468109034,0.022903962167377227,0.0,4,1.99
W25,opportunity,T57,0.23246530485553352,0.038226822205695433,20.439131879259058,1.1497038853597705,0.22541213172600316,186,1.82
W26,require,T7,0.38295047563099865,0.07212197057103668,40.90413518765203,1.5088639989656147,0.28978395551040076,247,1.64
W27,hurricane,T84,0.003988351405647375,0.0,0.23633399527594992,0.02449358690562818,0.0,4,1.99
W28,vulnerability,T18,0.052617072689967403,0.008631714900336087,4.805009304171362,0.2984704967540762,0.05599050267424822,46,1.96
W29,decentralized,T10,0.010397389332699876,0.0014105824386081384,0.8244622615929755,0.03763730572722793,0.007137778662784604,6,1.99
W30,analysis,T56,0.12722125604642542,0.02279289495550357,12.085162919748777,0.7854885763699861,0.15013290027186801,122,1.90
W31,accurately,T61,0.03703314030182221,0.006564304449814012,3.7363512390479405,0.12800178180069377,0.024024802493301838,21,1.97
W32,benefit,T49,0.25733179485839175,0.0474281198440461,25.38627588628046,1.0878097636599922,0.21711552164323114,178,1.79
W33,planning,T84,0.02504213247952813,0.004403407686096536,2.4250437803040645,0.15634868449816766,0.031118538241827646,26,1.98
W34,unique,T43,0.19610960468645253,0.03415654061345839,18.47094006014494,0.6840327439302307,0.1312093357190268,109,1.84
W35,recount,T57,0.06083133492424595,0.006071622664482506,4.525184953845922,0.11066517491938706,0.017555434329011917,17,1.96
W36,commentary,T7,0.012651791246233193,0.0023706431423946347,1.366613923206495,0.059300295801163076,0.011076730225429782,10,1.99
W37,sophisticated,T55,0.05963995397084659,0.011227124785948707,5.940192172799398,0.24783547708211157,0.049194927649641666,40,1.95
W38,jurisdiction,T45,0.017084728275601563,0.0,1.6123280669672149,0.06292937370417374,0.0,10,1.97
W39,result,T19,0.14338908674307863,0.022999559044357243,14.070309379723643,0.7324399862048719,0.13980438611194013,126,1.86
W40,current,T45,0.13223322073060098,0.0252287728573451,13.383633346816028,0.8472317847315722,0.16867223875159904,138,1.89
W41,capability,T54,0.10267553135974278,0.015205916733841453,8.700459475605832,0.3658128487429881,0.06837119655566877,59,1.92
W42,involvement,T4,0.0088543060218304,0.0016287978252018836,1.0215808102791153,0.08375290582553199,0.01492708737489926,14,1.99
W43,routine,T7,0.03133707569797737,0.003206654268122824,2.2235572739601723,0.10747150873983763,0.020165898534994467,17,1.98
W44,variety,T56,0.07235417565307678,0.012318617279793673,7.582465198633336,0.29242207418951516,0.051151154166905945,45,1.93
W45,attack,T90,0.09666346147804714,0.016981887110488505,9.66207415215382,0.5788529705343956,0.1094236104544704,92,1.91
W46,virally,T42,0.0,0.0,0.0,0.0,0.0,0,2.00
W47,specificity,T7,8.317027489842676E-4,0.0,0.126633714334769,0.0057890610866550085,0.0,1,2.00
W48,national,T45,0.041345154828486635,0.00752667644947458,3.943161159757196,0.2815777951397257,0.055785403743768544,47,1.96
W49,subsequent,T56,0.009899343847523973,0.0010613655560331662,1.0060742520413,0.07744114292679725,0.013477375387844341,12,1.99
